,Place ID,Place Name
211,ChIJb9tYEKDSH4gRlAKhMqfEaDw,Northwestern Michigan College
212,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
213,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
214,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
215,ChIJ0bB15CTKJIgRGv62hpnZ_j8,Wayne County Community College District
216,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
217,ChIJuSWtnzIfHIgRxSqsMiby5x8,West Shore Community College
218,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
219,ChIJ____dITCIogR9DKNbHW0w5I,Michigan State University College of Law
220,ChIJ3yqECyC2UE0RhGQXidmeCLU,Finlandia University
221,ChIJw37QcsatGYgRJ0a3xZrYRXk,Kendall College of Art and Design of Ferris State University
222,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
223,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
224,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
225,ChIJ7_xL7N1NGIgRCxLAbv5P2Zk,Ferris State University - Grand Rapids
226,ChIJ7_xL7N1NGIgRCxLAbv5P2Zk,Ferris State University - Grand Rapids
227,ChIJ7_xL7N1NGIgRCxLAbv5P2Zk,Ferris State University - Grand Rapids
228,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
229,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
230,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
231,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
232,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
233,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
234,ChIJKZI5O8MyHogRc7crDk9i2ac,NMC University Center
235,ChIJGyNqQSfTGIgRcoBoYs5HSwc,David L. Eisler Center
